text;class
Заплатили за доставку на такси за 2 часа, а доставку не могли осуществить 3 дня! Курьер так и не нашёлся, пришлось ехать в магазин человеку, для которого это был сюрприз!! ;Доставка
ПРи получении столкнулся с довольно хамским поведением продавца Симонова Сергея, который поначалу даже не стал признавать что станция - это высатвочный экземпляр, а потом отказался давать скидку на такие экземпляры. В какой-то момент я даже попросил его не хамить. ;Магазин
Вторая часть товара была доставлена с задержкой;Доставка
 увидела,что курьер звонил в 22.05, теперь звоню без конца на горячую линию и не понимаю привезут мне оплаченный заказ? В личном кабинете написано заказ отменён, а деньги на карту не вернули. В общем головная боль лишняя.;Доставка
Привезли в не тот магазин;Доставка
Курьерская доставка УЖАСНАЯ! _x000D_При заказе онлайн нигде не указывалось, что нужно личное присутствие при получение.  ;Доставка
Оплаченного товара нет в наличии;Доставка
Красивый да . Но чехол прожил два дня после падения не высокого разбился где камера , буквально выскользнул из кармана ! Он очень скользкий двумя руками я не привыкла держать телефон . 4 тыс в мусорку;Товар
"Товар был доставлен в руках доставщика, никакой упаковки в принципе не было. На вопрос - ""А где хотя бы пакет?"", курьер из яндекса ответил - как дали, так и привез. Здесь к нему претензий нет.";Товар
Кассир Высоцкий Дмитрий нагло общается, похамски.;Магазин
Некомплект товара в 3 магазинах из трех доступных. Постоянно водят в заблуждение наличием комплектации;Товар
Очень долгая доставка;Доставка
Привезли некомплект.;Товар
Курьеры должны не торопится, а помогать проверить исправность техники на месте, и не говорить, что они не знают, как что-то включается, и, что у нас есть 2 недели, чтобы проверить товар.;Доставка
Товар не в хорошем состоянии, даже с учетом витринного образца;Товар
Пришлось тратить время , хотя был сформирован электронный талон и по нему никого передо мной не было.;Магазин
Привезли не тот товар;Доставка
Я согласился на витринный товар даже без как раньше бывало существенной скидки, я понимаю ассортимент последнее время скудный.;Товар
В описании товара написано, что в комплекте должно быть 6 БИТ, по итогу была одна!  ;Товар
Заявляется бесплатная доставка, а по факту бесплатной доставки нет. Или самовывоз или доставка на такси за счёт клиента.;Доставка
 товар не проверяют.;Товар
Упаковка повреждена.;Товар
Две стиральные машинки доставлялись по одному адресу , но одну машинку нужно было поднять на два этажа выше ( в доме есть лифт ) но данную просьбу отказались выполнить;Доставка
Заказ отменен по неизвестной причине;Доставка
Заказ отменили. Крайне не доволен. В поддержку обещали, что свяжутся и поменяют дату доставки. По факту заказ отменён, теперь ждать возврата, плюс ко всему, той техники, что заказывал уже нет в наличии. Огромный минус;Доставка
Товар оказался бракованным.;Товар
"Сделала закз""Набор насадок для уборки дома"", для пылесоса Dyson. Обьяснила оператору, что в наборе мне нужна насадка для матрасов и мягкой мебели. Забрала в магазине набор и только дома обнаружила , что мне забронировали набор для уборки автомобиля . .";Магазин
Предлагаемый в смс телефон не отвечал, либо звонки сбрасывались либо занят. Полное не объяснение состояния доставки.;Доставка
Приобрёл телевизор.когда забирал продавец не предложил проверить его,выдали и сказали-все,забирайте.;Товар
Была огромная очередь на получение оплаченных онлайн заказов! При том, что они созданы для того, чтобы не стоять в очередях тем более в пандемию! Если бы знала, какая будет огромная очередь, не заказывала бы онлайн!;Магазин
При получении товара консультант не предложил проверить товар визуально, я пошел делать это сам. Когда консультант это увидел сразу подбежал, заявил, что на работоспособность проверить динамики нет возможности, хотя стенд с автозвуком в магазине есть. ;Товар
В зоне выдаче интернет заказов никого нет.;Магазин
Очень не компетентные сотрудники разбирались как заказ выдать!!;Магазин
привезли не тот товар ;Доставка
Кассир продавец Анна Гребенюк, просто хам, увольнять таких надо и не допускать к общению с клиентами. От покупки один негатив. Больше в этот магазин не ногой. ;Магазин
Долго.  После оплаты пришлось ждать еще 15 мин;Доставка
хамло в магазине работает. Начиная с директора и заканчивая охраной. ;Магазин
 опоздали на 2,5 часа;Доставка
Курьер опоздал на полтора часа;Доставка
 На витринные образцы имхо должны быть скидки;Товар
Буду возвращать товар! Бракованный, весь течёт, все нам залил;Товар
Оплаченный Заказ отменен без объяснения причины. ;Доставка
Отвратительно. Заказал, оплатил, простоял в очереди полтора часа чтобы узнать что некомплект ;Товар
Нет сотрудников на выдаче;Магазин
 Почему при интернет заказе не предупреждают что товар с витрины или ранее вскрывался.;Товар
товар был пыльный и грязный;Товар
Товар должен был прийти 14 числа, по факту пришел в магазин только 17 числа. Доставка подкачала;Доставка
Ужасная доставка. Принес товар, начал психовать, что его нужно проверять на целостность.Показывал всем своим видом, что нужно ему уже срочно бежать.Доставка оставляет желать лучшего, желание покупать что-либо после такого отпадает.;Доставка
 Стали заказывать кофе на Wildberries. Там и ассортимент, и обслуживание на высоте. У вас все тухло.;Товар
Доставка была с 13:00 до 16:00. По факту привезли в 20:00.;Доставка
Продавец,выдавший заказ,хам и грубиян с кислым выражением лица!отвратительное обслуживание!Впервые сталкиваюсь с таким в Мвидео!;Магазин
Доставлен поврежденный товар;Товар
В письмах и в личном кабинете на сайте нигде не было указано, что доставлен выставочный образец;Товар
Заказ пришёл с повреждение - сломана пластмассовая ручка включения механизма качания на офисном кресле, предполагаю видимо при сборке на фабрике была не до конца была одета одета + видимо удары при транспортировке.;Товар
хоть у меня и был электронный талон в приложении - все равно пришлось стоять очередь в кассу, вместо получения в зоне выдачи оплаченного товара;Магазин
 и сотрудник был очень не доволен , хмурый и злой .;Магазин
Электронный талон получил, но на табло мониторе ничего не отображалось, пока сам не обратился к сотрудникам ничего по моему заказу не делалось. ;Магазин
 На выходе нахамил охранник в виде уродливой шутки. Ни я ни она такого не ожидали. Что у вас там с подбором персонала? ;Магазин
ПЕРВОЕ, НА ЧТО ОБРАТИЛИ ВНИМАНИЕ-ПОРВАННАЯ НА УГЛУ КОРОБКА, КАК БУДТО ЕЕ УЖЕ ОТКРЫВАЛИ.;Товар
"Попросила подобрать невитринный товар, который возможно забрать в течение 30 мин из магазина в ТЦ Амбар. 2 раза переспросила - не получится ли так, что я оплачу заказ а товара нет и придётся отменять заказ /оплату и пр._x000D_
Так и вышло(товар оказался витринным)";Товар
Выдали ноутбук, который ранее стоял на витрине, хотя оплачивался, как новый. Сказали -ну не хотите -не забирайте!  При выборе и оплате онлайн не было ни слова о том, что он с витрины.;Товар
Покупка не прошла, упаковка товара была вскрыта. Отказ;Товар
 Заказанный товар оказался витринным образцом, о чем я узнала после совершения оплаты;Товар
Зачем делать в приложении электронный талон, если с ним ждать дольше, чем встать в обычную очередь;Магазин
 по утверждению сотрудников магазина у них не отражалась онлайн-оплата по карте и корректный срок резерва, что вызывает сомнения в компетентности. В других магазинах мвидео никаких проблем не было с получением моих заказов мужем, над человеком издевались после длительной поездки 700 км, больше ни ногой в точку продаж в трц Еропа сити молл.;Магазин
Оставили именинника без подарка!!! Заказ был оплачен онлайн сразу, пришло смс ,чтобы ждали курьера, а в конце дня оказалось,что кресла нет в наличии и когда будет - неизвестно. Напишите тогда сразу,чтобы не оплачивали заказ,если нет в наличии. Или хотя бы предупредили, зачем принимать оплату и определять дату доставки,если товара нет.;Доставка
осле нескольких минут ожиданий кассир, которая все это время сидела за кассой, сказала с очень не довольным видом «если вы за заказом подходите». Ни в одном из ваших магазинов нет такого обслуживания, всегда вызывают по номеру, а здесь мне ещё высказали недовольство что я сразу не подошла.;Магазин
Сначала заказ перенесли, несогласовав со мной время и дату. ;Доставка
 Доставку можно продлить только на 1 день, это очень не удобно. Желательно увеличить продление срока, если срок хранения попадает на праздничные дни.;Доставка
 не проверил перед покупкой, а теперь вам не докажешь, что их ваш работник наверное и забрал себе. ;Товар
Курьер не отзвонился, заказ просто отменили. Дозвонился на горячую линию - сказали, что курьер отменил заказ, а товар два дня с ним. Как только вернет, то появится в базе. Сказали позвонить через пару дней.  Какая-то нелепая схема, да и пропущенных звонков не было.;Доставка
Сотрудникам компании необходимо более внимательно проверять товар перед доставкой покупателю.;Товар
 при оформлении заказа  была предложена бесплатная доставка. Через два часа сказали, что полногабаритная техника не подлежит такому виду доставки и что оформить новую доставку через интернет невозможно, нужно ехать в магазин и оформлять за 490 рублей отдельную доставку. ;Доставка
курьер приехал не по тому адресу, он приехал в адрес города Москвы, а нужно было в Химки, пришлось ехать к курьеру самостоятельно. Нормально ли это?;Доставка
 Тем не менее, когда заказ пришел, срок хранения установили всего три дня на буднях, когда я просила продлить срок хранения мне смогли продлить его только на 1 день, так же на буднях. ;Доставка
Конкретно в моем случае из-за раннего поступления товара срок хранения оказался меньше, поскольку отсчитывается с момента прибытия товара. Таким образом, я оказался в заложниках ситуации, продлевание срока заказа возможно лишь на один день-это просто смех. Раньше было 10 дней, и этого для меня было бы достаточно. Пришлось экстренно искать человека, который сможет забрать заказ в будни, поскольку на выходные он бы не успел.;Доставка
Первый раз не тот артикул;Доставка
Долго выносят товар, написано что готов к выдаче, по факту заставляют ждать;Доставка
Заказ № 1532239432 пришел частично. Не привезли кронштейн для телевизора  ;Доставка
 Очередь из 4-х человек ждет, кассиров, которые ходят и вместе ищут необходимый товар для одного покупателя. ;Магазин
Старший продавец Андрей громко и неприятно требовал документ, подтверждающий, что печать принадлежит мне.Приводил аргументы громко и нахально, что он тоже может за углом сделать печать и сказать, что это его печать. И крайне пренебрежительно заявлял, что без этого документа он выдавать мне заказ не будет. Я была в шоке от такого. ;Магазин
Заказ не доставили целиком. ;Доставка
Доставка на такси работает ужасно.;Доставка
 Отстоял очередь на получение и оказалось, что надо брать электронный талон, информации об этом нет, терминал стоит дальше от входа чем окно выдачи. Пока пошёл за талоном рядом стоявшие взяли его раньше меня и пришлось стоять второй раз. Повесьте информацию, что очередь электронная и переставьте терминал для выдачи талонов ближе. ;Магазин
Есть претензии к хамскому отношению персонала.. Далее телевизор был запакован Вашим сотрудником с возмущением и жалобой на то, что эта работа (распаковка - запаковка товара) ему не оплачивается. Персонал совершенно не умеет работать с клиентами.;Магазин
Врете, что не витринные образцы продаете. Уже не в первый раз. Надоело уже это. Заказывал сначала у дома в Магеллане. Отметки о витрине не было. ;Товар
"на каком-то этапе заказа магазин потерял чать адреса доставки и водитель поехал не туда, вовремя увидел к счастью._x000D_
";Доставка
упаковка (коробка) мультиварки была мятая и видно что ранее была небрежно распакована и плохо обратно запакована.;Товар
 увидел свою покупку стоящую на полу, да ещё и в заляпанной упаковке , в надежде что она не моя ! после того как увидел, что ее собираются отдать мне , попросил другую , на что получил ответ с рядом стоящим менеджером - мы ее протрем , я говорю - в смысле протрете , принесите мне не испачканную и не стоящую на полу колонку , на что мне менеджер магазина сказала - Вы первый человек с такими претензиями ! ;Товар
В день доставки курьер не позвонил за час до доставки;Доставка
Товар пришёл в другой пункт выдачи;Доставка
Пришло смс о готовности заказа в ТРц Электра, по приезду в магазин оказалось, что товара нет в наличии и быть не могло. ;Доставка
" Проверять товар сказали дома. _x000D_
Разочарована в М- видео, в следующий раз предпочту другую сеть, которая заинтересована в своих клиентах.";Товар
Я заказал доставку на новую квартиру, на которой я не живу. Экспедитор позвонил в назначенный и спросил, могу ли я принять доставку через 10 минут (а должен был позвонить за час, как было заявлено);Доставка
Привезли выставочный образец;Товар
 в магазине выносить человеку товар, если у него уже есть электронный талон, потому что смысл опять сканировать талон на кассе.  ;Магазин
"Когда сравнивал товары в каталоге , было указано преимущество - бесплатная доставка до адреса - когда добавил в корзину, и начал оформлять заказ - появилась стоимость доставки_x000D_
Я считаю что меня обманули";Доставка
Адрес курьеру дали не полный,курьер звонил и спрашивал подъезд и квартиру._x000D_;Доставка
Нет продавцов на выдаче, а остальные продавцы прячутся от покупателя. ;Магазин
"экспресс доставка за 400 рублей это у вас ""Э БРАТ НЭТУ НОМИРА КВАРТИРЫ СПУСКАЙСА К ДОРОГА ЗАБИРАЙ""";Доставка
почему нет подъема на этаж? в чем сложность? терминал в машине - сказал мне водитель. и что? дальше то что? почему у других магазинов есть возможность поднять товар и дома оплатить и выбить чек а у вас нет???? идиотизм...;Доставка
Заказ был отменён в день доставки. Без предупреждения. ;Доставка
Научите своих быдло охранников не портить репутацию магазина;Магазин
Нет возможности продления оплаченного заказа больше чем на 1 день?? Вы серьезно??? Надеюсь что не придется больше ничего покупать в вашем магазине;Доставка
Работники нули, ничего вообще не знают. 8 из 10 сотрудников просто за гранью. Доходит до смешного. Сотрудник отдела работающий годами на одном месте вообще не знает свой товар, даже самые элементарные вещи.;Магазин
Действительно тихий в работе - ещё бы при таком маленьком вентиляторе он бы ещё и шумел)) материал из низкого китайского качества - собран как одноразовый - повёлся на хорошие отзывы - не советую к покупке!;Товар
Попался брак, блок питания не рабочий придет делать возврат!;Товар
Большая очередь на кассе. На просьбу позвать второго кассира получил отказ.;Магазин
По второму оплаченному интернет-заказу отказались выдать товар, так как его нет в наличии. Как такое возможно?;Доставка
 Курьер не привез мой заказ. Вернее привез, но написал что меня не было дома, интересно как он это узнал.... хотя я был рядом, предварительного звонка перед доставкой не было.... в итоге заказ отменили, деньги пока не вернули;Доставка
Менеджеры с умным видом смотрят в компьютер и не замечают покупателей.  В итоге положил товар на место, заказал как покупку через интернет-магазин.  ;Магазин
Стекло оказалось повреждённым, хотя упаковка целая.;Товар
Обещали доставку с 16 до 22 часов. А в действительности в 10.00 позвонили и сказали, что приедут через час и ничего с этим не поделать, иначе они не знают когда в следующий раз можно будет организовать доставку.;Доставка
«Последний товар» и «витринный образец» это разные вещи. Хотелось бы узнавать об этом до покупки. ;Товар
Опять упаковка была грязная, внутри товар тоже с какими-то крошками. Стремные чувства, не такие хочется ощущать, когда покупаешь оригинальные аксессуары Apple. ;Товар
"при обращении к оператору внятного ответа так и не получено, повторение одной и той же фразы ""Дмитрий, в этом заказе применения бонусов не было"", хотя вся история есть в моем личном кабинете и скриншотам направлена оператору.";Магазин
В магазине на кассе стоял 25 мин, Очередь собралась как за хлебом… в 90-е;Магазин
Перенесли выдачу заказа на 4 дня, не продлили срок хранения.;Доставка
Огромный магазин, в котором нет сотрудников. ;Магазин
Продавец режил продать нам товар почему то по завышенной цене. ;Магазин
Смешно,пакеты бумажные за деньги,а на них реклама видео!;Товар
Доставка была частичной. Никто не предупредил о том, что второго товара нет в наличии. Узнала об этом, когда сама несколько раз писала в чат;Доставка
Очередь на кассе;Магазин
Продавец-кассир самый отвратительный продавец, все настроение испортил. Больше в этот магазин нет желание идти.;Магазин
Заказали плитку сегодня подключили,одна конфорка не работает;Товар
Поставлен некомплект- нет ничего кроме самой вытяжки;Товар
"При выборе интернет-магазина для меня было главным условием возможность проверки товара при получении. Поле оплаты товара сотрудник вручил коробку со словами: ""Вон стол для проверки, в наши обязанности это не входит"". Сотрудники были свободны в этот и им не составляло труда подойти и помочь мне проверить пылесос. Так как я не хотела покупать ""кота в мешке"", то была вынуждена вернуть товар. Постараюсь найти магазин с лучшим сервисом или более отзывчивыми сотрудниками.";Товар
Пытались навязать доп. Услуги. Что в конечном итоге удалось. Потом ждал минут 20, пока наклеют защитную пленку.;Магазин
 Весь рабочий день просидел дома ,как болван ждал.  Около 19час позвонил робот, сказал, что мой заказ отменен,  человек(не робот)сказал, что разберутся и мне перезвонят.  Еще, как дурак прождал 2час. никто естесв. не позвонил.  ;Доставка
Так и не предоставили ответа почему стоимость доставки на сайте не соответствует факту;Доставка
 За час не звонили. Пришлось всё бросить и срочно бежать, так как по адресу никого не было. ;Доставка
Как всегда доставка расстраивает. Позвонили и сказали, что приедут в течение часа, но в итоге пришлось их ждать более двух часов. Достаточно посмотреть в навигатор, чтобы узнать сколько ехать до адреса.;Доставка
Оплачивала заказ с экспресс доставкой. Полтора дня добивалась, чтоб заказ привезли- в итоге пришлось ехать забирать самой;Доставка
Никто не вышел, когда взял электронный талон на выдачу;Магазин
Отвратительно!!!!! Курьер не доставил заказ. В итоге никто не перезвонил,хотя были на связи и общались через вотсап и чат.Заказ зачем то вобще отменили! ;Доставка
мимо ходят сотрудники магазина - 0 внимания.;Магазин
Я попросила забрать заказ дочку. В магазинеей сказали , что за 2090руб она не может забрать товар. И что она должна доплатить за страховку. Насколько я знаю страховка -дело добровольное . Я осознанно отказалась от этой услуги. На это так же имею право. Данный поступок сотрудника воспринимаю как вымогательство.;Магазин
2 раза переносилась (увеличивалась) дата доставки, хотя такую мелочь можно было закинуть в любую машину с центрального склада, а ТС с Москвы у вас грузятся каждый день на Ставрополь практически.;Доставка
 ответ услышал что идите к кассиру,подошёл на кассу 3раза поздоровался, там был менеджер сервиса ,если не ошибаюсь Мария, нахамила мне ,просто какое то быдло ,потом ещё на сотрудников ходила и вскрикивала ,отвратительное отношения  ,примите меры,не в первой такое;Магазин
изначально была обещена бесплатная доставка, которая оказалась по факту платной;Доставка
Не было предупреждения о некомплектности товара;Товар
неоднократно переносили дату доставки;Доставка
 В магазине не проверяют. Буду проверять работоспособность дома.;Товар
При получении заказа покупала пакет, и продавец взял с меня 16 рублей;Товар
Долго ждал выдачу товара! Всего один человек выдавал заказы !;Доставка
Служба доставки работает отвратительно!!!  Опять звонка не дождались и на следующий день позвонили сами, увидев, что в личном кабинете наш заказ отменен вообще!;Доставка
Мою коробку искали всем магазином минут 30. Устал ждать. Хотел уже отказаться от покупки..;Доставка
В наличие нет аксессуаров.  Покупаешь дорогой товар а укомплектовать не можешь. ;Товар
 никакого сервиса - отдали коробку с телефоном- хочешь проверяй здесь, хочешь вообще не проверяй, никому до тебя нет дела.;Товар
Продавец разговаривал хамским тоном.;Магазин
Малый срок хранения заказа;Доставка
Водитель позвонил за 3 минуты до доставки, а не за час. Принять заказ по факту не представлялось возможным. ;Доставка
Доставка просто треш.;Доставка
На выдаче мальчик впаривает доп.услуги/аксессуары/«гарантию», при этом ЗАДЕРЖИВАЕТ покупателей.;Магазин
 Я не покупала товар с витрины! Что за неуважение к покупателям!;Товар
В заказе пришёл не тот товар!!!;Доставка
Заказ отменен, т.к. товара не оказалось в наличии, потерянное время;Доставка
При получении заказа коробка была грязная ( не пыльная, а прям в грязи). ;Товар
не прошел в дверной проем и был оставлен грузчиками на лестнице перед дверью квартиры. Заносить в квартиру пришлось потом самостоятельно. ;Доставка
 Вобще звонить надо за час до доставки, а не за 5 минут. Иначе в следущий раз будет под дверью стоять без ответа.;Доставка
 Но очередь на кассе вообще не радует. ;Магазин
"Хамcкое отношение  от Охраны. Жалобу оставил _x000D_
";Магазин
Поменяйте злобную старшую кассиршу на выдаче товара;Магазин
можно было элементарно пойти на встречу и привезти 3 товара вместо четырех.;Доставка
"В зоне выдочи толпа ""сотрудников"", при этом чемони заняты кроме болтавни, совершенно непонятно. ";Магазин
Бронировать полностью оплаченный товар за покупателем. Чтобы потом не предлагать товар с витрины;Товар
Конструкция абсолютно не устойчивая. ТВ можно поставить на полку, но вешать на крепление которое держится на двух очень ненадёжно соединённых короткими гайками шпильках не рекомендую, так как они гнутся под весом ТВ в 16 кг. Качество деталей увы печальное, как и само конструктивное решение производителя. В номинации на самый ненадёжный товар который я купил за крайние 10 лет, без сомнений побеждает это барахло. Не рекомендую этот товар к покупке;Товар
